date_time,number_of_rentals
2021-04-01,77476.12
2021-04-02,80427.77
2021-04-03,32249.404
2021-04-04,41163.49
2021-04-05,79296.516
2021-04-06,78767.07
2021-04-07,70558.695
2021-04-08,73260.65
2021-04-09,78981.734
2021-04-10,79330.78
2021-04-11,77770.81
2021-04-12,45178.297
2021-04-13,47630.1
2021-04-14,71642.01
2021-04-15,68862.75
2021-04-16,38490.69
2021-04-17,34809.555
2021-04-18,75237.94
2021-04-19,85955.29
2021-04-20,88850.65
2021-04-21,87255.47
2021-04-22,89142.55
2021-04-23,84763.04
2021-04-24,89374.61
2021-04-25,85924.195
2021-04-26,82995.66
2021-04-27,80380.6
2021-04-28,64217.34
2021-04-29,82620.92
2021-04-30,57855.617
2021-05-01,16957.994
2021-05-02,66236.21
2021-05-03,82893.43
2021-05-04,35720.527
2021-05-05,64824.45
2021-05-06,82508.73
2021-05-07,55564.65
2021-05-08,80454.84
2021-05-09,76045.75
2021-05-10,72350.516
2021-05-11,97428.8
2021-05-12,97531.02
2021-05-13,96784.23
2021-05-14,90934.88
2021-05-15,76920.92
2021-05-16,27688.477
2021-05-17,76834.99
2021-05-18,91170.766
2021-05-19,90652.414
2021-05-20,84830.555
2021-05-21,64949.758
2021-05-22,96040.27
2021-05-23,94958.875
2021-05-24,93989.28
2021-05-25,72114.375
2021-05-26,86045.37
2021-05-27,68560.055
2021-05-28,72459.67
2021-05-29,90783.484
2021-05-30,87020.336
2021-05-31,71772.516
2021-06-01,97176.97
2021-06-02,97096.05
2021-06-03,55481.55
2021-06-04,90791.13
2021-06-05,96280.664
2021-06-06,105223.74
2021-06-07,105750.47
2021-06-08,100226.84
2021-06-09,104302.62
2021-06-10,99150.39
2021-06-11,50774.59
2021-06-12,105851.74
2021-06-13,105345.28
2021-06-14,104302.62
2021-06-15,99158.76
2021-06-16,95990.74
2021-06-17,97553.77
2021-06-18,67639.09
2021-06-19,105839.76
2021-06-20,105419.09
2021-06-21,110961.75
2021-06-22,41745.895
2021-06-23,49909.52
2021-06-24,88602.9
2021-06-25,104273.016
2021-06-26,96626.99
2021-06-27,97465.91
2021-06-28,46308.145
2021-06-29,67345.984
2021-06-30,44187.434
