date_time,number_of_rentals
2021-04-01,68643.91
2021-04-02,69051.195
2021-04-03,29855.21
2021-04-04,39602.473
2021-04-05,70284.33
2021-04-06,71530.59
2021-04-07,68415.875
2021-04-08,68573.31
2021-04-09,70257.92
2021-04-10,69899.31
2021-04-11,70387.33
2021-04-12,26391.799
2021-04-13,33417.133
2021-04-14,73349.32
2021-04-15,68561.47
2021-04-16,28122.865
2021-04-17,29315.94
2021-04-18,67513.41
2021-04-19,84659.96
2021-04-20,85233.41
2021-04-21,84767.47
2021-04-22,83208.84
2021-04-23,86832.93
2021-04-24,86351.26
2021-04-25,84564.17
2021-04-26,82470.805
2021-04-27,84155.54
2021-04-28,57784.117
2021-04-29,82517.01
2021-04-30,35315.145
2021-05-01,23307.615
2021-05-02,52373.418
2021-05-03,79782.78
2021-05-04,40095.15
2021-05-05,55181.08
2021-05-06,82499.42
2021-05-07,48827.72
2021-05-08,78307.88
2021-05-09,81181.445
2021-05-10,67143.99
2021-05-11,95630.305
2021-05-12,99283.484
2021-05-13,96875.51
2021-05-14,90052.92
2021-05-15,72975.195
2021-05-16,31136.82
2021-05-17,73541.27
2021-05-18,93463.445
2021-05-19,93535.44
2021-05-20,79292.516
2021-05-21,59343.023
2021-05-22,94481.836
2021-05-23,96123.11
2021-05-24,89934.27
2021-05-25,77758.11
2021-05-26,90448.6
2021-05-27,61979.207
2021-05-28,66976.82
2021-05-29,97608.71
2021-05-30,97551.37
2021-05-31,78204.9
2021-06-01,102322.72
2021-06-02,101449.96
2021-06-03,61533.69
2021-06-04,84264.99
2021-06-05,103943.98
2021-06-06,102256.88
2021-06-07,102095.65
2021-06-08,90558.125
2021-06-09,105792.29
2021-06-10,101614.26
2021-06-11,47252.668
2021-06-12,101452.32
2021-06-13,102155.51
2021-06-14,102984.87
2021-06-15,100910.25
2021-06-16,102595.76
2021-06-17,103843.3
2021-06-18,77874.92
2021-06-19,106108.695
2021-06-20,103044.17
2021-06-21,104076.42
2021-06-22,54281.953
2021-06-23,27978.406
2021-06-24,81297.62
2021-06-25,104985.79
2021-06-26,89078.43
2021-06-27,93533.03
2021-06-28,43561.06
2021-06-29,74277.305
2021-06-30,56690.08
